capture,cluster_id,appliance,notes
session-1,-1,sandwich_maker,"Only 4 events this boot (sync mark + connection-artifact check, all sandwich_maker), magnitude span 780.9-794.9 VA (14.1 VA) exceeds epsilonVa=12, so minPoints=4 is never satisfied for any point; correctly reported as noise despite being genuine repeated sandwich-maker transitions."
session-2,-1,sandwich_maker,"Fragments of the autonomous thermostat re-engagement (t_s~2248-2291): magnitudes 146.9-641.8 VA scattered across the ramp, none within epsilon of enough neighbours to form or join a cluster. Root cause: the event-merger fragment-fusion gap (see session write-up) failed to fuse these into one event."
session-2,1,"charger, fan","Fan's clean on/off events (~36-52 VA) share this cluster with several charger fragments (soft-start sub-events and low-end on-transitions, ~40-67 VA). Replaying with the merge applied on the correct clock (see 'What went wrong', item 2) drops the charger events here from 9 to 3, so about two thirds of this overlap is a symptom of the merger defect rather than of the appliances' power draw. The 3 that remain are the charger's soft-start ramp spreading over more than 5 s, which is the limitation already declared in stage 2, belonging to the load."
session-2,2,charger,"Charger's off-transition magnitude (~89-101 VA) forms its own internally consistent cluster. The apparent split from its on-transitions is mostly an artefact of the merger defect: the on-events sit in cluster 1 as unfused fragments, and once merged on the correct clock the three charger pairs sum to 101.3 / 100.8 / 101.6 VA (0.40% dispersion), the same band as this cluster. Replaying with the fix grows this cluster from 6 to 9 events."
session-2,3,sandwich_maker,"Sandwich maker's clean single-fragment transitions (772.0-800.2 VA): isolated cycles, staircase rep 1, and the autonomous cycle's clean edges. Cleanly isolated from every other cluster."
session-3,-1,fan,"Single event this boot (fan switching off, t_s=79.02, ~45 VA), left on from before the ESP32 reboot that started this capture; not a deliberate action of this segment's own protocol, so not in ground truth. A lone point can never satisfy minPoints regardless of magnitude."
session-4,-1,"charger, fan, sandwich_maker","True outliers this boot: two charger off-events (83.1, 91.4 VA, too few same-boot samples to form their own cluster this time), one sandwich-off event at slightly lower magnitude than usual (760.5 VA, rep 3 descent), and all four simultaneous-switching outcomes (pair fan+charger's larger on fragment 98.5 VA and merged off 136.6 VA; pair sandwich+fan's merged on 851.9 VA and off 839.1 VA): exactly the outlier outcome the protocol's simultaneous-switching scenario expects."
session-4,1,"charger, fan","Fan's clean on/off events (~37-42 VA) plus one charger on-event (30.1 VA, rep 3) plus the smaller fragment of the fan+charger simultaneous pair (35.5 VA): the same fan/charger overlap seen in session-2, and a concrete instance of a simultaneous-switching fragment contaminating an existing single-appliance cluster, as the protocol anticipated."
session-4,2,"charger, soldering_iron","All 10 soldering-iron on/off events (54.9-62.7 VA) form this cluster, DISTINCT from the fan's (30.1-41.6 VA): the gap is 13.3 VA against epsilonVa=12, a margin of 1.3 VA. The handoff predicted the iron would fuse with the fan; it did not. The resolution-stress scenario therefore succeeded, and located the method's resolution limit to about one VA. One charger on-event (61.4 VA) fell inside the iron's cluster: a third appliance contaminating it, not the iron failing to resolve."
session-4,3,sandwich_maker,"Sandwich maker's clean single-fragment transitions (777.9-795.3 VA): sync mark plus staircase reps 2 and 3's ascending on-events and rep 2's off-event. Cleanly isolated, as in session-2."
